Student ID, Module Code, Date, Status
TP123456, CS101, 2025-01-15, Present
TP123457, CS102, 2025-01-15, Present
TP123458, CS103, 2025-01-15, Absent
TP123459, CS104, 2025-01-15, Present
TP123460, CS105, 2025-01-15, Absent
TP123461, CS106, 2025-01-15, Present
TP123462, CS107, 2025-01-15, Absent
TP123463, CS108, 2025-01-15, Present
TP123464, CS109, 2025-01-15, Present
TP123465, CS110, 2025-01-15, Present
TP123466, CS111, 2025-01-15, Absent
TP123467, CS112, 2025-01-15, Present
TP123468, CS113, 2025-01-15, Present
TP123469, CS114, 2025-01-15, Present
TP123470, CS115, 2025-01-15, Absent
TP123471, CS116, 2025-01-15, Present
TP123472, CS117, 2025-01-15, Present
TP123473, CS118, 2025-01-15, Absent
TP123474, CS119, 2025-01-15, Present
TP123475, CS120, 2025-01-15, Present
TP123476, CS121, 2025-01-15, Present
TP123477, CS122, 2025-01-15, Absent
TP123478, CS123, 2025-01-15, Present
TP123479, CS124, 2025-01-15, Absent
TP123480, CS125, 2025-01-15, Present
TP123481, CS126, 2025-01-15, Absent
TP123482, CS127, 2025-01-15, Present
TP123483, CS128, 2025-01-15, Present
TP123484, CS129, 2025-01-15, Present
TP123485, CS130, 2025-01-15, Present
TP123486, CS131, 2025-01-15, Absent
TP123487, CS132, 2025-01-15, Present
TP123488, CS133, 2025-01-15, Absent
TP123489, CS134, 2025-01-15, Present
TP123490, CS135, 2025-01-15, Present
TP123491, CS136, 2025-01-15, Present
TP123492, CS137, 2025-01-15, Absent
TP123493, CS138, 2025-01-15, Present
TP123494, CS139, 2025-01-15, Present
TP123494, CS138, 2025-01-15, Present
